Academic Year;Semester;College;Level;Major;Nationality;Gender;Number of Graduates
2015-16;Summer 2015;Business and Economics;Master;Business Administration;Non-Qatari;Female;2
2015-16;Summer 2015;Arts and Sciences;Undergraduate;International Affairs;Qatari;Female;4
2015-16;Summer 2015;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Non-Qatari;Female;1
2015-16;Summer 2015;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Qatari;Female;1
2015-16;Summer 2015;Law;Undergraduate;Law;Qatari;Male;1
2015-16;Summer 2015;Arts and Sciences;Undergraduate;Mass Communication;Qatari;Female;3
2015-16;Summer 2015;Arts and Sciences;Undergraduate;Sociology;Non-Qatari;Female;2
2015-16;Summer 2015;Arts and Sciences;Undergraduate;Statistics;Qatari;Female;1
2015-16;Fall 2015;Business and Economics;Undergraduate;Accounting;Qatari;Female;23
2015-16;Fall 2015;Arts and Sciences;Undergraduate;Biomedical Sciences;Non-Qatari;Female;8
2015-16;Fall 2015;Engineering;Master;Computing;Qatari;Male;1
2015-16;Fall 2015;Business and Economics;Undergraduate;Finance;Qatari;Female;20
2015-16;Fall 2015;Arts and Sciences;Master;Gulf Studies;Non-Qatari;Female;2
2015-16;Fall 2015;Arts and Sciences;Master;Gulf Studies;Non-Qatari;Male;2
2015-16;Fall 2015;Arts and Sciences;Master;Gulf Studies;Qatari;Female;1
2015-16;Fall 2015;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Non-Qatari;Male;3
2015-16;Fall 2015;Arts and Sciences;Undergraduate;Mass Communication;Qatari;Male;2
2015-16;Fall 2015;Engineering;Undergraduate;Mechanical Engineering;Non-Qatari;Male;6
2015-16;Fall 2015;Engineering;Undergraduate;Mechanical Engineering;Qatari;Male;1
2015-16;Fall 2015;Education;Diploma;Primary Education;Non-Qatari;Female;7
2015-16;Fall 2015;Education;Diploma;Primary Education;Qatari;Female;1
2015-16;Fall 2015;Sharia and Islamic Studies;Master;Quranic Sciences and Exegesis;Qatari;Male;1
2015-16;Spring 2016;Business and Economics;Undergraduate;Accounting;Qatari;Female;69
2015-16;Spring 2016;Arts and Sciences;Undergraduate;Biological Sciences;Non-Qatari;Female;10
2015-16;Spring 2016;Engineering;Undergraduate;Chemical Engineering;Non-Qatari;Male;16
2015-16;Spring 2016;Engineering;Master;Civil Engineering;Non-Qatari;Male;1
2015-16;Spring 2016;Engineering;Undergraduate;Computer Engineering;Non-Qatari;Female;7
2015-16;Spring 2016;Engineering;Undergraduate;Computer Science;Non-Qatari;Female;3
2015-16;Spring 2016;Engineering;Undergraduate;Computer Science;Non-Qatari;Male;1
2015-16;Spring 2016;Sharia and Islamic Studies;Undergraduate;Dawa;Non-Qatari;Female;8
2015-16;Spring 2016;Engineering;Undergraduate;Electrical Engineering;Non-Qatari;Female;18
2015-16;Spring 2016;Business and Economics;Undergraduate;Finance;Non-Qatari;Male;7
2015-16;Spring 2016;Arts and Sciences;Master;Gulf Studies;Non-Qatari;Male;1
2015-16;Spring 2016;Arts and Sciences;Undergraduate;Human Nutrition;Qatari;Female;1
2015-16;Spring 2016;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Qatari;Male;4
2015-16;Spring 2016;Arts and Sciences;Master;Material Sci and Technology;Non-Qatari;Female;3
2015-16;Spring 2016;Engineering;Undergraduate;Mechanical Engineering;Qatari;Male;4
2015-16;Spring 2016;Pharmacy;Undergraduate;Pharmacy;Non-Qatari;Female;23
2015-16;Spring 2016;Pharmacy;Undergraduate;Pharmacy;Qatari;Female;2
2015-16;Spring 2016;Education;Undergraduate;Secondary Education;Non-Qatari;Female;20
2015-16;Spring 2016;Arts and Sciences;Undergraduate;Sport Science;Non-Qatari;Female;2
2015-16;Spring 2016;Arts and Sciences;Undergraduate;Sport Science;Qatari;Female;5
2015-16;Spring 2016;Engineering;Master;Urban Planning;Qatari;Female;1
2016-17;Summer 2016;Business and Economics;Undergraduate;Accounting;Qatari;Female;19
2016-17;Summer 2016;Engineering;Undergraduate;Chemical Engineering;Non-Qatari;Female;3
2016-17;Summer 2016;Engineering;Undergraduate;Chemical Engineering;Non-Qatari;Male;1
2016-17;Summer 2016;Engineering;Undergraduate;Chemical Engineering;Qatari;Male;1
2016-17;Summer 2016;Engineering;Undergraduate;Civil Engineering;Qatari;Male;3
2016-17;Summer 2016;Engineering;Undergraduate;Computer Science;Non-Qatari;Female;1
2016-17;Summer 2016;Engineering;Undergraduate;Computer Science;Non-Qatari;Male;1
2016-17;Summer 2016;Business and Economics;Undergraduate;Finance;Non-Qatari;Female;5
2016-17;Summer 2016;Sharia and Islamic Studies;Master;Fiqh and Usul;Qatari;Male;1
2016-17;Summer 2016;Arts and Sciences;Undergraduate;International Affairs;Non-Qatari;Female;3
2016-17;Summer 2016;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Qatari;Female;9
2016-17;Summer 2016;Business and Economics;Undergraduate;Management;Qatari;Male;5
2016-17;Summer 2016;Business and Economics;Undergraduate;Marketing;Non-Qatari;Male;3
2016-17;Summer 2016;Engineering;Undergraduate;Mechanical Engineering;Non-Qatari;Male;5
2016-17;Fall 2016;Engineering;Undergraduate;Architecture;Qatari;Female;2
2016-17;Fall 2016;Engineering;Master;Environmental Engineering;Non-Qatari;Female;2
2016-17;Fall 2016;Arts and Sciences;Undergraduate;History;Non-Qatari;Female;3
2016-17;Fall 2016;Health Sciences;Undergraduate;Human Nutrition;Qatari;Female;2
2016-17;Fall 2016;Arts and Sciences;Undergraduate;International Affairs;Qatari;Female;21
2016-17;Fall 2016;Business and Economics;Undergraduate;Management;Qatari;Female;47
2016-17;Fall 2016;Business and Economics;Undergraduate;Marketing;Non-Qatari;Female;8
2016-17;Fall 2016;Pharmacy;Master;Pharmacy;Non-Qatari;Female;3
2016-17;Fall 2016;Education;Diploma;Primary Education;Qatari;Female;4
2016-17;Fall 2016;Sharia and Islamic Studies;Master;Quranic Sciences and Exegesis;Non-Qatari;Male;1
2016-17;Fall 2016;Education;Diploma;Special Education;Non-Qatari;Female;6
2016-17;Fall 2016;Arts and Sciences;Undergraduate;Sport Science;Non-Qatari;Female;5
2016-17;Fall 2016;Arts and Sciences;Undergraduate;Statistics;Qatari;Female;3
2016-17;Winter 2017;Business and Economics;Undergraduate;Marketing;Non-Qatari;Male;1
2016-17;Winter 2017;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Qatari;Female;1
2016-17;Spring 2017;Business and Economics;Master;Accounting;Non-Qatari;Female;2
2016-17;Spring 2017;Business and Economics;Master;Accounting;Non-Qatari;Male;1
2016-17;Spring 2017;Arts and Sciences;Undergraduate;Arabic Language;Non-Qatari;Female;9
2016-17;Spring 2017;Arts and Sciences;Undergraduate;Chemistry;Non-Qatari;Female;11
2016-17;Spring 2017;Business and Economics;Undergraduate;Economics;Non-Qatari;Female;2
2016-17;Spring 2017;Engineering;Undergraduate;Electrical Engineering;Non-Qatari;Male;15
2016-17;Spring 2017;Sharia and Islamic Studies;Master;Fiqh and Usul;Qatari;Male;1
2016-17;Spring 2017;Arts and Sciences;Undergraduate;History;Qatari;Male;1
2016-17;Spring 2017;Arts and Sciences;Undergraduate;International Affairs;Non-Qatari;Female;7
2016-17;Spring 2017;Business and Economics;Undergraduate;Marketing;Non-Qatari;Female;14
2016-17;Spring 2017;Arts and Sciences;Undergraduate;Mass Communication;Qatari;Female;13
2016-17;Spring 2017;Arts and Sciences;Undergraduate;Mass Communication;Qatari;Male;12
2016-17;Spring 2017;Pharmacy;Master;Pharmacy;Non-Qatari;Female;4
2016-17;Spring 2017;Pharmacy;Doctor in PharmD;Pharmacy;Qatari;Female;3
2016-17;Spring 2017;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Non-Qatari;Female;8
2016-17;Spring 2017;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Qatari;Female;22
2016-17;Spring 2017;Education;Undergraduate;Secondary Education;Qatari;Female;30
2016-17;Spring 2017;Arts and Sciences;Undergraduate;Sport Science;Non-Qatari;Female;9
2016-17;Spring 2017;Arts and Sciences;Undergraduate;Sport Science;Non-Qatari;Male;4
2017-18;Summer 2017;Business and Economics;Undergraduate;Accounting;Qatari;Male;13
2017-18;Summer 2017;Arts and Sciences;Undergraduate;Chemistry;Non-Qatari;Male;3
2017-18;Summer 2017;Engineering;Undergraduate;Civil Engineering;Non-Qatari;Male;12
2017-18;Summer 2017;Engineering;Undergraduate;Computer Engineering;Qatari;Female;3
2017-18;Summer 2017;Business and Economics;Undergraduate;Economics;Non-Qatari;Female;2
2017-18;Summer 2017;Engineering;Undergraduate;Electrical Engineering;Non-Qatari;Male;3
2017-18;Summer 2017;Engineering;Undergraduate;Electrical Engineering;Qatari;Male;1
2017-18;Summer 2017;Engineering;Undergraduate;Industrial and Systems Eng.;Non-Qatari;Female;1
2017-18;Summer 2017;Engineering;Undergraduate;Industrial and Systems Eng.;Qatari;Female;3
2017-18;Summer 2017;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Non-Qatari;Male;1
2017-18;Summer 2017;Business and Economics;Undergraduate;Management Information Systems;Non-Qatari;Male;1
2017-18;Summer 2017;Business and Economics;Undergraduate;Marketing;Qatari;Female;12
2017-18;Summer 2017;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Non-Qatari;Male;4
2017-18;Summer 2017;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Qatari;Male;2
2017-18;Fall 2017;Business and Economics;Undergraduate;Accounting;Qatari;Male;12
2017-18;Fall 2017;Arts and Sciences;Undergraduate;Arabic Language;Non-Qatari;Female;1
2017-18;Fall 2017;Arts and Sciences;Master;Arabic Language & Literature;Non-Qatari;Female;3
2017-18;Fall 2017;Business and Economics;Master;Business Administration;Qatari;Female;4
2017-18;Fall 2017;Engineering;Undergraduate;Chemical Engineering;Qatari;Female;2
2017-18;Fall 2017;Engineering;Undergraduate;Computer Engineering;Non-Qatari;Female;4
2017-18;Fall 2017;Engineering;Undergraduate;Computer Engineering;Qatari;Female;5
2017-18;Fall 2017;Engineering;Doctorate - PhD;Electrical Engineering;Non-Qatari;Male;1
2017-18;Fall 2017;Engineering;Master;Engineering Management;Non-Qatari;Male;5
