Semester;College;Level;Major;Nationality;Gender;Total Registered
Fall 2015;Arts and Sciences;Foundation;Science Foundation;Non-Qatari;Female;55
Fall 2015;Arts and Sciences;Undergraduate;Arabic Language;Non-Qatari;Female;44
Fall 2015;Arts and Sciences;Undergraduate;Biomedical Sciences;Qatari;Female;12
Fall 2015;Arts and Sciences;Undergraduate;Chemistry;Non-Qatari;Male;31
Fall 2015;Arts and Sciences;Undergraduate;General Sport Science;Non-Qatari;Male;3
Fall 2015;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Non-Qatari;Female;50
Fall 2015;Arts and Sciences;Undergraduate;Sociology;Non-Qatari;Female;111
Fall 2015;Arts and Sciences;Master;Applied Statistics;Qatari;Female;2
Fall 2015;Arts and Sciences;Master;Arabic Language & Literature;Non-Qatari;Male;1
Fall 2015;Arts and Sciences;Master;Environmental Sciences;Non-Qatari;Female;5
Fall 2015;Arts and Sciences;Master;Environmental Sciences;Qatari;Female;5
Fall 2015;Arts and Sciences;Master;Gulf Studies;Non-Qatari;Male;6
Fall 2015;Arts and Sciences;Master;Gulf Studies;Qatari;Female;12
Fall 2015;Arts and Sciences;Master;Public Health;Non-Qatari;Female;8
Fall 2015;Arts and Sciences;Certificate;Arab Lang Stdy for N-Nat Spk;Non-Qatari;Female;28
Fall 2015;Business and Economics;Undergraduate;Accounting;Non-Qatari;Female;94
Fall 2015;Business and Economics;Undergraduate;Economics;Non-Qatari;Male;1
Fall 2015;Business and Economics;Undergraduate;Economics;Qatari;Female;43
Fall 2015;Business and Economics;Undergraduate;Management;Non-Qatari;Male;33
Fall 2015;Business and Economics;Undergraduate;Management Information Systems;Non-Qatari;Female;8
Fall 2015;Business and Economics;Undergraduate;Marketing;Qatari;Male;32
Fall 2015;Education;Undergraduate;Secondary Education;Qatari;Female;139
Fall 2015;Engineering;Undergraduate;Computer Science;Qatari;Male;16
Fall 2015;Engineering;Master;Civil Engineering;Non-Qatari;Male;20
Fall 2015;Engineering;Doctorate - PhD;Computer Science;Non-Qatari;Male;2
Fall 2015;Engineering;Doctorate - PhD;Computer Science;Qatari;Female;1
Fall 2015;Law;Master;Private Law;Qatari;Male;3
Fall 2015;Sharia and Islamic Studies;Master;Fiqh and Usul Al Fiqh;Qatari;Male;7
Spring 2016;Education;Undergraduate;Primary Education;Qatari;Female;362
Spring 2016;Education;Undergraduate;Secondary Education;Non-Qatari;Male;32
Spring 2016;Education;Undergraduate;Secondary Education;Qatari;Male;8
Spring 2016;Education;Master;Curriculum,Instruc. & Assessm.;Qatari;Female;2
Spring 2016;Engineering;Foundation;Engineering Foundation;Non-Qatari;Female;28
Spring 2016;Engineering;Master;Computing;Non-Qatari;Female;18
Spring 2016;Engineering;Doctorate - PhD;Electrical Engineering;Non-Qatari;Female;2
Spring 2016;Law;Master;Private Law;Non-Qatari;Female;2
Spring 2016;Pharmacy;Undergraduate;General Pharmacy;Qatari;Female;10
Spring 2016;Pharmacy;Undergraduate;Pharmacy;Qatari;Female;8
Spring 2016;Pharmacy;Master;Pharmacy;Non-Qatari;Female;12
Spring 2016;Sharia and Islamic Studies;Undergraduate;Dawa;Qatari;Male;23
Spring 2016;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Qatari;Male;14
Spring 2016;Sharia and Islamic Studies;Master;Quranic Sciences and Exegesis;Non-Qatari;Female;9
Fall 2016;Arts and Sciences;Undergraduate;Biology;Qatari;Female;18
Fall 2016;Arts and Sciences;Undergraduate;History;Qatari;Male;14
Fall 2016;Arts and Sciences;Undergraduate;International Affairs;Non-Qatari;Female;46
Fall 2016;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Qatari;Male;41
Fall 2016;Arts and Sciences;Undergraduate;Social Work;Non-Qatari;Male;2
Fall 2016;Arts and Sciences;Undergraduate;Statistics;Non-Qatari;Male;18
Fall 2016;Arts and Sciences;Master;Environmental Sciences;Non-Qatari;Female;9
Fall 2016;Arts and Sciences;Master;Gulf Studies;Non-Qatari;Female;16
Fall 2016;Arts and Sciences;Master;Public Health;Non-Qatari;Male;4
Fall 2016;Arts and Sciences;Master;Public Health;Qatari;Female;3
Fall 2016;Arts and Sciences;Doctorate - PhD;Biological & Environmental Sci;Qatari;Male;1
Fall 2016;Arts and Sciences;Certificate;Arab Lang Stdy for N-Nat Spk;Non-Qatari;Female;34
Fall 2016;Business and Economics;Undergraduate;General Business;Non-Qatari;Male;220
Fall 2016;Business and Economics;Undergraduate;General Business;Qatari;Female;1226
Fall 2016;Education;Undergraduate;Education (Math & Sci);Non-Qatari;Male;2
Fall 2016;Education;Diploma;Secondary Education;Qatari;Male;1
Fall 2016;Education;Diploma;Special Education;Non-Qatari;Female;6
Fall 2016;Education;Master;Education Leadership;Non-Qatari;Female;10
Fall 2016;Engineering;Undergraduate;Chemical Engineering;Qatari;Female;102
Fall 2016;Engineering;Undergraduate;Computer Science;Qatari;Female;73
Fall 2016;Engineering;Undergraduate;Computer Science;Qatari;Male;22
Fall 2016;Engineering;Undergraduate;Electrical Engineering;Non-Qatari;Male;205
Fall 2016;Engineering;Undergraduate;General Engineering;Qatari;Male;27
Fall 2016;Engineering;Master;Civil Engineering;Non-Qatari;Female;1
Fall 2016;Engineering;Master;Environmental Engineering;Qatari;Male;2
Fall 2016;Health Sciences;Master;Public Health;Non-Qatari;Female;8
Fall 2016;Law;Undergraduate;Law;Non-Qatari;Female;109
Fall 2016;Medicine;Undergraduate;General Medicine;Non-Qatari;Female;30
Fall 2016;Pharmacy;Undergraduate;General Pharmacy;Non-Qatari;Female;45
Fall 2016;Sharia and Islamic Studies;Undergraduate;Dawa;Qatari;Female;146
Fall 2016;Sharia and Islamic Studies;Undergraduate;Sharia;Non-Qatari;Female;1
Fall 2016;Sharia and Islamic Studies;Master;Fiqh and Usul Al Fiqh;Non-Qatari;Male;22
Fall 2016;Sharia and Islamic Studies;Master;Quranic Sciences and Exegesis;Qatari;Male;16
Spring 2017;Arts and Sciences;Foundation;Science Foundation;Non-Qatari;Male;28
