global_term,season,cohort_id,is_incumbent,cohort_age,active,delayed,graduated,dropped,censored,seats_requested,seats_denied
-6,Fall,-3,True,1,100,0,0,0,0,700,0
-5,Spring,-3,True,2,99,0,0,1,0,521,0
-4,Fall,-3,True,3,97,0,0,3,0,496,1
-4,Fall,-2,True,1,100,0,0,0,0,700,2
-3,Spring,-3,True,4,93,0,0,7,0,475,0
-3,Spring,-2,True,2,100,0,0,0,0,517,0
-2,Fall,-3,True,5,93,0,0,7,0,471,0
-2,Fall,-2,True,3,95,0,0,5,0,502,1
-2,Fall,-1,True,1,100,0,0,0,0,700,4
-1,Spring,-3,True,6,90,0,0,10,0,464,0
-1,Spring,-2,True,4,89,0,0,11,0,471,0
-1,Spring,-1,True,2,100,0,0,0,0,519,0
0,Fall,-3,True,7,82,0,7,11,0,493,0
0,Fall,-2,True,5,84,0,0,16,0,454,0
0,Fall,-1,True,3,96,0,0,4,0,501,26
0,Fall,0,False,1,100,0,0,0,0,700,2
1,Spring,-3,True,8,58,0,28,14,0,374,0
1,Spring,-2,True,6,82,0,0,18,0,420,0
1,Spring,-1,True,4,94,0,0,6,0,476,0
1,Spring,0,False,2,99,0,0,1,0,510,0
2,Fall,-3,True,9,0,41,41,18,0,200,0
2,Fall,-2,True,7,73,0,8,19,0,441,4
2,Fall,-1,True,5,92,0,0,8,0,494,6
2,Fall,0,False,3,96,0,0,4,0,496,25
2,Fall,1,False,1,100,0,0,0,0,700,5
3,Spring,-3,True,10,0,22,57,21,0,96,0
3,Spring,-2,True,8,44,0,30,26,0,301,0
3,Spring,-1,True,6,84,0,0,16,0,462,1
3,Spring,0,False,4,92,0,0,8,0,475,1
3,Spring,1,False,2,100,0,0,0,0,513,1
4,Fall,-3,True,11,0,15,63,22,0,42,0
4,Fall,-2,True,9,0,28,42,30,0,159,0
4,Fall,-1,True,7,68,0,14,18,0,458,0
4,Fall,0,False,5,91,0,0,9,0,481,0
4,Fall,1,False,3,95,0,0,5,0,502,25
4,Fall,2,False,1,100,0,0,0,0,700,0
5,Spring,-3,True,12,0,0,68,24,8,18,0
5,Spring,-2,True,10,0,16,51,33,0,89,0
5,Spring,-1,True,8,39,0,39,22,0,293,0
5,Spring,0,False,6,89,0,0,11,0,452,0
5,Spring,1,False,4,90,0,0,10,0,471,0
5,Spring,2,False,2,100,0,0,0,0,523,0
6,Fall,-3,True,13,0,0,68,24,8,0,0
6,Fall,-2,True,11,0,10,57,33,0,23,0
6,Fall,-1,True,9,0,27,50,23,0,153,0
6,Fall,0,False,7,77,0,11,12,0,491,0
6,Fall,1,False,5,89,0,0,11,0,464,0
6,Fall,2,False,3,96,0,0,4,0,502,6
6,Fall,3,False,1,100,0,0,0,0,700,2
7,Spring,-3,True,14,0,0,68,24,8,0,0
7,Spring,-2,True,12,0,0,63,33,4,13,0
7,Spring,-1,True,10,0,17,58,25,0,87,0
7,Spring,0,False,8,46,0,40,14,0,326,0
7,Spring,1,False,6,88,0,0,12,0,446,0
7,Spring,2,False,4,95,0,0,5,0,473,0
7,Spring,3,False,2,100,0,0,0,0,521,0
8,Fall,-3,True,15,0,0,68,24,8,0,0
8,Fall,-2,True,13,0,0,63,33,4,0,0
8,Fall,-1,True,11,0,10,63,27,0,26,0
8,Fall,0,False,9,0,27,55,18,0,180,0
8,Fall,1,False,7,80,0,7,13,0,485,1
8,Fall,2,False,5,94,0,0,6,0,490,1
8,Fall,3,False,3,97,0,0,3,0,500,31
9,Spring,-3,True,16,0,0,68,24,8,0,0
9,Spring,-2,True,14,0,0,63,33,4,0,0
9,Spring,-1,True,12,0,0,68,28,4,10,0
9,Spring,0,False,10,0,13,68,19,0,81,0
9,Spring,1,False,8,51,0,34,15,0,345,0
9,Spring,2,False,6,87,0,0,13,0,470,0
9,Spring,3,False,4,95,0,0,5,0,481,0
10,Fall,-3,True,17,0,0,68,24,8,0,0
10,Fall,-2,True,15,0,0,63,33,4,0,0
10,Fall,-1,True,13,0,0,68,28,4,0,0
10,Fall,0,False,11,0,8,73,19,0,22,0
10,Fall,1,False,9,0,28,55,17,0,164,0
10,Fall,2,False,7,71,0,14,15,0,474,0
10,Fall,3,False,5,93,0,0,7,0,484,0
11,Spring,-3,True,18,0,0,68,24,8,0,0
11,Spring,-2,True,16,0,0,63,33,4,0,0
11,Spring,-1,True,14,0,0,68,28,4,0,0
