course,term,label,capacity,registered,granted,denied,utilization,status
CMPS151,-6,Fall Y-2,105,100,100,0,0.9524,open
CMPS200,-6,Fall Y-2,105,100,100,0,0.9524,open
CMPS205,-6,Fall Y-2,140,100,100,0,0.7143,open
CMPS251,-6,Fall Y-2,105,0,0,0,0.0,open
CMPS350,-6,Fall Y-2,70,0,0,0,0.0,open
CMPS303,-6,Fall Y-2,70,0,0,0,0.0,open
CMPE263,-6,Fall Y-2,105,0,0,0,0.0,open
CMPS380,-6,Fall Y-2,140,0,0,0,0.0,open
CMPS310,-6,Fall Y-2,140,0,0,0,0.0,open
CMPE355,-6,Fall Y-2,140,0,0,0,0.0,open
CMPS493,-6,Fall Y-2,70,0,0,0,0.0,open
CMPS499,-6,Fall Y-2,70,0,0,0,0.0,open
ELEC_1,-6,Fall Y-2,70,0,0,0,0.0,open
ELEC_2,-6,Fall Y-2,70,0,0,0,0.0,open
ELEC_3,-6,Fall Y-2,70,0,0,0,0.0,open
ELEC_4,-6,Fall Y-2,70,0,0,0,0.0,open
SUPP_1,-6,Fall Y-2,105,100,100,0,0.9524,open
SUPP_2,-6,Fall Y-2,105,100,100,0,0.9524,open
MATH_1,-6,Fall Y-2,140,100,100,0,0.7143,open
MATH_2,-6,Fall Y-2,105,0,0,0,0.0,open
MATH_3,-6,Fall Y-2,140,0,0,0,0.0,open
MATH_4,-6,Fall Y-2,105,0,0,0,0.0,open
MATH_5,-6,Fall Y-2,105,0,0,0,0.0,open
PHYS_1,-6,Fall Y-2,140,0,0,0,0.0,open
PHYS_2,-6,Fall Y-2,70,0,0,0,0.0,open
CHEM_1,-6,Fall Y-2,105,0,0,0,0.0,open
ENGL_1,-6,Fall Y-2,105,100,100,0,0.9524,open
ENGL_2,-6,Fall Y-2,70,0,0,0,0.0,open
GED_1,-6,Fall Y-2,70,0,0,0,0.0,open
GED_2,-6,Fall Y-2,70,0,0,0,0.0,open
GED_3,-6,Fall Y-2,70,0,0,0,0.0,open
GED_4,-6,Fall Y-2,70,0,0,0,0.0,open
GED_5,-6,Fall Y-2,70,0,0,0,0.0,open
GED_6,-6,Fall Y-2,70,0,0,0,0.0,open
GED_7,-6,Fall Y-2,70,0,0,0,0.0,open
CMPS151,-5,Spring Y-2,105,25,25,0,0.2381,open
CMPS200,-5,Spring Y-2,105,10,10,0,0.0952,open
CMPS205,-5,Spring Y-2,140,26,26,0,0.1857,open
CMPS251,-5,Spring Y-2,105,75,75,0,0.7143,open
CMPS350,-5,Spring Y-2,70,0,0,0,0.0,open
CMPS303,-5,Spring Y-2,70,0,0,0,0.0,open
CMPE263,-5,Spring Y-2,105,56,56,0,0.5333,open
CMPS351,-5,Spring Y-2,140,0,0,0,0.0,open
CMPS405,-5,Spring Y-2,140,0,0,0,0.0,open
